TF-IDF計算中...
記事「日本」のTF-IDF上位20語
単語              TF         IDF        TF-IDF    
年               687        1.0081     692.5404  
天皇              69         3.6842     254.2125  
国               202        1.0925     220.6856  
倭国              33         5.4188     178.8217  
列島              43         3.8784     166.7710  
月               162        1.0203     165.2861  
こと              155        1.0368     160.7062  
第               144        1.1014     158.5948  
世界              136        1.0707     145.6173  
関係              121        1.1562     139.8954  
倭               25         5.4188     135.4710  
大日本             33         3.8784     127.9871  
頁               57         2.1867     124.6430  
日本書紀            21         5.8243     122.3104  
人               108        1.0368     111.9759  
位               76         1.4612     111.0517  
問題              77         1.3995     107.7583  
経済              90         1.1148     100.3298  
国号              31         3.2216     99.8701   
憲法              75         1.3301     99.7550   
