{'loss': 1.2744, 'grad_norm': 1.2651112079620361, 'learning_rate': 4.98040147285901e-05, 'epoch': 0.01}
{'loss': 0.4447, 'grad_norm': 1.1433253288269043, 'learning_rate': 4.960604980797403e-05, 'epoch': 0.02}
{'loss': 0.4323, 'grad_norm': 1.4729975461959839, 'learning_rate': 4.9408084887357965e-05, 'epoch': 0.04}
{'loss': 0.4209, 'grad_norm': 1.0494041442871094, 'learning_rate': 4.9210119966741895e-05, 'epoch': 0.05}
{'loss': 0.3881, 'grad_norm': 1.3995745182037354, 'learning_rate': 4.901215504612583e-05, 'epoch': 0.06}
{'loss': 0.4099, 'grad_norm': 0.8311713933944702, 'learning_rate': 4.881419012550976e-05, 'epoch': 0.07}
{'loss': 0.4036, 'grad_norm': 1.836588978767395, 'learning_rate': 4.86162252048937e-05, 'epoch': 0.08}
{'loss': 0.4047, 'grad_norm': 1.0105738639831543, 'learning_rate': 4.841826028427763e-05, 'epoch': 0.1}
{'loss': 0.3886, 'grad_norm': 1.0492216348648071, 'learning_rate': 4.822029536366156e-05, 'epoch': 0.11}
{'loss': 0.3848, 'grad_norm': 1.0235273838043213, 'learning_rate': 4.8022330443045494e-05, 'epoch': 0.12}
{'loss': 0.3786, 'grad_norm': 0.8527442812919617, 'learning_rate': 4.7824365522429424e-05, 'epoch': 0.13}
{'loss': 0.3899, 'grad_norm': 0.9421408772468567, 'learning_rate': 4.762640060181336e-05, 'epoch': 0.14}
{'loss': 0.4018, 'grad_norm': 1.2156113386154175, 'learning_rate': 4.742843568119729e-05, 'epoch': 0.15}
{'loss': 0.365, 'grad_norm': 1.048919439315796, 'learning_rate': 4.7230470760581227e-05, 'epoch': 0.17}
{'loss': 0.387, 'grad_norm': 0.988106906414032, 'learning_rate': 4.703250583996516e-05, 'epoch': 0.18}
{'loss': 0.3813, 'grad_norm': 1.1122875213623047, 'learning_rate': 4.683454091934909e-05, 'epoch': 0.19}
{'loss': 0.3793, 'grad_norm': 0.8633298277854919, 'learning_rate': 4.663657599873303e-05, 'epoch': 0.2}
{'loss': 0.3864, 'grad_norm': 0.8583808541297913, 'learning_rate': 4.643861107811696e-05, 'epoch': 0.21}
{'loss': 0.3782, 'grad_norm': 1.2135521173477173, 'learning_rate': 4.6240646157500896e-05, 'epoch': 0.23}
{'loss': 0.369, 'grad_norm': 1.1890959739685059, 'learning_rate': 4.6042681236884826e-05, 'epoch': 0.24}
{'loss': 0.3876, 'grad_norm': 0.9495654702186584, 'learning_rate': 4.584471631626876e-05, 'epoch': 0.25}
{'loss': 0.3675, 'grad_norm': 0.8386847972869873, 'learning_rate': 4.564675139565269e-05, 'epoch': 0.26}
{'loss': 0.3701, 'grad_norm': 1.2836092710494995, 'learning_rate': 4.544878647503663e-05, 'epoch': 0.27}
