{'loss': 0.6482, 'grad_norm': 3.9647905826568604, 'learning_rate': 4.985449578334719e-06, 'rewards/chosen': 0.013955354690551758, 'rewards/rejected': -0.08309493213891983, 'rewards/accuracies': 0.7400000095367432, 'rewards/margins': 0.09705028682947159, 'logps/chosen': -12.460247993469238, 'logps/rejected': -13.747300148010254, 'logits/chosen': -99.69064331054688, 'logits/rejected': -99.4447250366211, 'epoch': 0.0}
{'loss': 0.4265, 'grad_norm': 22.93163299560547, 'learning_rate': 4.970602209288514e-06, 'rewards/chosen': -0.07192718237638474, 'rewards/rejected': -0.9779306054115295, 'rewards/accuracies': 0.8849999904632568, 'rewards/margins': 0.9060033559799194, 'logps/chosen': -13.193958282470703, 'logps/rejected': -22.60439682006836, 'logits/chosen': -80.06053924560547, 'logits/rejected': -80.32026672363281, 'epoch': 0.01}
{'loss': 0.4206, 'grad_norm': 82.6615219116211, 'learning_rate': 4.95575484024231e-06, 'rewards/chosen': -1.0102883577346802, 'rewards/rejected': -3.048142433166504, 'rewards/accuracies': 0.8550000190734863, 'rewards/margins': 2.0378541946411133, 'logps/chosen': -22.59286117553711, 'logps/rejected': -43.26961898803711, 'logits/chosen': -59.832889556884766, 'logits/rejected': -58.05951690673828, 'epoch': 0.01}
{'loss': 0.5451, 'grad_norm': 3.9491567611694336, 'learning_rate': 4.940907471196104e-06, 'rewards/chosen': -0.8611139059066772, 'rewards/rejected': -2.9386725425720215, 'rewards/accuracies': 0.7950000166893005, 'rewards/margins': 2.0775585174560547, 'logps/chosen': -21.34136199951172, 'logps/rejected': -42.37839889526367, 'logits/chosen': -87.12008666992188, 'logits/rejected': -86.4394302368164, 'epoch': 0.01}
{'loss': 0.4702, 'grad_norm': 2.421593427658081, 'learning_rate': 4.926060102149899e-06, 'rewards/chosen': -0.8641865253448486, 'rewards/rejected': -3.2618792057037354, 'rewards/accuracies': 0.8450000286102295, 'rewards/margins': 2.3976926803588867, 'logps/chosen': -21.351661682128906, 'logps/rejected': -45.613311767578125, 'logits/chosen': -76.10853576660156, 'logits/rejected': -76.84231567382812, 'epoch': 0.01}
{'loss': 0.5396, 'grad_norm': 55.08876419067383, 'learning_rate': 4.911212733103695e-06, 'rewards/chosen': -0.952003002166748, 'rewards/rejected': -3.8942644596099854, 'rewards/accuracies': 0.8650000095367432, 'rewards/margins': 2.9422614574432373, 'logps/chosen': -21.94659423828125, 'logps/rejected': -51.69710922241211, 'logits/chosen': -55.452064514160156, 'logits/rejected': -46.56344223022461, 'epoch': 0.02}
{'loss': 0.3058, 'grad_norm': 0.2044237107038498, 'learning_rate': 4.896365364057489e-06, 'rewards/chosen': -0.4594751298427582, 'rewards/rejected': -4.283971309661865, 'rewards/accuracies': 0.9150000214576721, 'rewards/margins': 3.8244965076446533, 'logps/chosen': -17.375446319580078, 'logps/rejected': -55.91883850097656, 'logits/chosen': -49.85018539428711, 'logits/rejected': -43.352970123291016, 'epoch': 0.02}
{'loss': 0.5361, 'grad_norm': 0.7769301533699036, 'learning_rate': 4.881517995011285e-06, 'rewards/chosen': -0.6012671589851379, 'rewards/rejected': -4.442269802093506, 'rewards/accuracies': 0.875, 'rewards/margins': 3.8410022258758545, 'logps/chosen': -18.78296661376953, 'logps/rejected': -57.49989318847656, 'logits/chosen': -45.933013916015625, 'logits/rejected': -42.619606018066406, 'epoch': 0.02}
{'loss': 0.5779, 'grad_norm': 0.24732312560081482, 'learning_rate': 4.866670625965079e-06, 'rewards/chosen': -0.5346918702125549, 'rewards/rejected': -3.8766777515411377, 'rewards/accuracies': 0.8450000286102295, 'rewards/margins': 3.3419864177703857, 'logps/chosen': -17.861188888549805, 'logps/rejected': -51.63389205932617, 'logits/chosen': -36.1277961730957, 'logits/rejected': -34.27540588378906, 'epoch': 0.03}
{'loss': 0.4365, 'grad_norm': 0.40344297885894775, 'learning_rate': 4.851823256918874e-06, 'rewards/chosen': -0.6954533457756042, 'rewards/rejected': -4.442874908447266, 'rewards/accuracies': 0.8799999952316284, 'rewards/margins': 3.7474215030670166, 'logps/chosen': -19.644489288330078, 'logps/rejected': -57.45851135253906, 'logits/chosen': -34.37419891357422, 'logits/rejected': -35.78527069091797, 'epoch': 0.03}
{'loss': 0.4094, 'grad_norm': 32.79545974731445, 'learning_rate': 4.836975887872669e-06, 'rewards/chosen': -0.5903913974761963, 'rewards/rejected': -4.326850891113281, 'rewards/accuracies': 0.875, 'rewards/margins': 3.736459732055664, 'logps/chosen': -18.32908058166504, 'logps/rejected': -55.95333480834961, 'logits/chosen': -28.917003631591797, 'logits/rejected': -33.02931213378906, 'epoch': 0.03}
{'loss': 0.3344, 'grad_norm': 11.080619812011719, 'learning_rate': 4.822128518826465e-06, 'rewards/chosen': -0.07476537674665451, 'rewards/rejected': -4.427331447601318, 'rewards/accuracies': 0.9100000262260437, 'rewards/margins': 4.352566719055176, 'logps/chosen': -13.237587928771973, 'logps/rejected': -57.03586959838867, 'logits/chosen': -26.198020935058594, 'logits/rejected': -30.451200485229492, 'epoch': 0.04}
{'loss': 0.4053, 'grad_norm': 0.2032468169927597, 'learning_rate': 4.8072811497802595e-06, 'rewards/chosen': -0.36002400517463684, 'rewards/rejected': -4.546187877655029, 'rewards/accuracies': 0.8899999856948853, 'rewards/margins': 4.186164379119873, 'logps/chosen': -16.052339553833008, 'logps/rejected': -58.284584045410156, 'logits/chosen': -27.397157669067383, 'logits/rejected': -32.73442459106445, 'epoch': 0.04}
{'loss': 0.3896, 'grad_norm': 0.24250580370426178, 'learning_rate': 4.792433780734054e-06, 'rewards/chosen': 0.023208679631352425, 'rewards/rejected': -4.705517768859863, 'rewards/accuracies': 0.9150000214576721, 'rewards/margins': 4.728726863861084, 'logps/chosen': -12.350652694702148, 'logps/rejected': -59.954315185546875, 'logits/chosen': -30.8054256439209, 'logits/rejected': -32.42849349975586, 'epoch': 0.04}
